Brand,Model,Version,Category,Year,Kms,Hp,Gear_type,Fuel_type,Fuel_cons,Doors,ZIP,Province,Price_EUR
Ford,Fiesta,1.0 EcoBoost S/S ST Line 140,Small,2019,51300,140,Manual,Petrol,4.5,5,8908,Barcelona,13900
SEAT,Ibiza,1.0 MPI S&S Style 80,Small,2019,12799,80,Manual,Petrol,4.6,5,8830,Barcelona,13985
Alfa-Romeo,MiTo,1.4 TB Multiair Veloce TCT 170,Small,2017,29400,170,Automatic,Petrol,5.4,5,8830,Barcelona,14500
SEAT,Leon,1.6TDI CR S&S Reference 115,Small,2017,64181,116,Manual,Diesel,4.2,5,8174,Barcelona,14600
Ford,Fiesta,1.0 EcoBoost S/S Active+ 125,Small,2018,30120,125,Manual,Petrol,4.3,5,8401,Barcelona,14600
SEAT,Ibiza,1.0 TSI S&S Style 110,Small,2021,22300,110,Manual,Petrol,4.6,5,8042,Barcelona,14700
SEAT,Ibiza,1.0 TSI S&S Style 110,Small,2021,23000,110,Manual,Petrol,4.6,5,8042,Barcelona,14700
Audi,S3,2.0 TFSI quattro,Small,2008,230000,265,Manual,Petrol,9.1,5,8203,Barcelona,14900
Kia,Ceed / cee'd,1.0 T-GDI Concept,Small,2021,15000,120,Manual,Petrol,5.5,5,8201,Barcelona,14900
Audi,A1,Sportback 1.6TDI Attraction,Small,2018,40620,116,Manual,Diesel,3.7,5,8830,Barcelona,14900
Subaru,Impreza,2.5 WRX,Small,2008,128000,230,Manual,Petrol,10.4,5,8820,Barcelona,14900
smart,forFour,80 Brabus Aut.,Small,2018,40000,109,Automatic,Petrol,4.6,5,8173,Barcelona,14950
Audi,A1,Sportback 1.0 TFSI Adrenalin,Small,2018,44732,95,Manual,Petrol,4.3,5,8030,Barcelona,15000
Citroen,C4 Cactus,1.2 PureTech S&S Shine EAT6 110,Small,2017,40510,110,Automatic,Petrol,4.6,5,8174,Barcelona,15600
