Year,Kms,Hp,Fuel_cons,Doors,Gear_type_Automatic,Gear_type_Manual,Fuel_type_CNG,Fuel_type_Diesel,Fuel_type_Electric,Fuel_type_Hybrid,Fuel_type_LPG,Fuel_type_Petrol,Type_cabrio,Type_coupe,Type_familiar,Type_minivan,Type_other,Type_sedan,Type_small,Type_suv,Type_van,Seller_Dealer,Seller_Private,Brand_encoded,Model_encoded,Colour_encoded,Province_encoded,Price_EUR
2017,71086,90,5.1,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,10721.094444444445,9272.66037735849,22586.322194374825,22252.94124847001,9252
2015,120000,136,4.5,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,29082.68607594937,22622.5081300813,22586.322194374825,22252.94124847001,14990
2012,161779,82,4.5,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,13407.126549249837,14947.338028169013,22586.322194374825,22252.94124847001,7490
2018,46021,95,4.6,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,16542.651072961373,10081.654676258993,22586.322194374825,22252.94124847001,12490
2014,29068,99,3.7,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,14041.39201183432,10300.54,22586.322194374825,22252.94124847001,14499
2019,14094,72,4.2,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,10412.196983141082,9727.441914394045,22586.322194374825,22252.94124847001,10935
2018,84754,99,3.6,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10412.196983141082,12634.530612244898,22586.322194374825,22252.94124847001,13572
2018,32424,120,3.8,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,13167.835322195704,11980.475524475525,22586.322194374825,22252.94124847001,18490
2020,2631,72,4.1,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,14041.39201183432,6991.475,22586.322194374825,22252.94124847001,11490
2016,99935,182,5.5,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,13167.835322195704,11980.475524475525,22586.322194374825,22252.94124847001,16990
2020,44500,131,3.6,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,13407.126549249837,11825.056856187291,22586.322194374825,22252.94124847001,14990
2016,40678,90,4.0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10721.094444444445,9272.66037735849,22586.322194374825,22252.94124847001,10490
2016,45334,116,3.4,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,26202.40666450987,15653.143884892086,22586.322194374825,22252.94124847001,19500
2017,40625,150,5.0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,25546.556756756756,14904.820895522387,22586.322194374825,22252.94124847001,23000
2021,25,82,0.0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10401.267515923568,10786.558139534884,22586.322194374825,22252.94124847001,18900
2019,25936,110,4.4,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,13407.126549249837,11825.056856187291,22586.322194374825,22252.94124847001,14450
2015,104899,110,4.0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,25546.556756756756,14904.820895522387,22586.322194374825,22252.94124847001,15899
2016,84012,99,4.1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,24287.115577889446,14743.193548387912,22586.322194374825,22252.94124847001,15890
2000,121000,50,5.6,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,16542.651072961373,10081.654676258993,22586.322194374825,22252.94124847001,3900
